company_id,sic_code,regional_folder,quality_flag,n_pages,company_text_length,hash_algorithm,sha256_document_hash,text_shared_in_repository,crawl_date
RMCT_COMP_0073,24330,Forging__Forming___Pressing,usable,1,1566,SHA-256,c44c88e720d073dcf830d5f490ef74213fc96868073992b5205e44f0993062a8,False,not_publicly_released_in_current_extract
RMCT_COMP_0074,24330,Forging__Forming___Pressing,usable_rich,1,11249,SHA-256,6295952e19779b25cc1c252a12d2106d96a70d7279824bd0aa7632d78b8f63d5,False,not_publicly_released_in_current_extract
RMCT_COMP_0075,24330,Forging__Forming___Pressing,usable,1,1832,SHA-256,f0fe649720a754ffeabeb90a0e4efe94fdbe34958d2a3de0ea9ead27f0dad0b0,False,not_publicly_released_in_current_extract
RMCT_COMP_0076,24330,Forging__Forming___Pressing,usable_rich,1,5273,SHA-256,b97ea1849a1771eb65edbb81924b9be43f51cb1eb2a06657873fbfe4ea04d3fd,False,not_publicly_released_in_current_extract
RMCT_COMP_0077,24330,Forging__Forming___Pressing,usable,1,1914,SHA-256,e311b413c84eae34876981f6da6abbce1d1eb8f46399675a8e9a0bd9b981842a,False,not_publicly_released_in_current_extract
RMCT_COMP_0078,24340,Forging__Forming___Pressing,usable_rich,1,8138,SHA-256,5e29b19a5ee5d6b60f15ec05c27242164a5379ae40b72e3bd774007f043928f9,False,not_publicly_released_in_current_extract
RMCT_COMP_0079,24340,Forging__Forming___Pressing,usable,1,2435,SHA-256,bf5152ba38a9f4c51ebabbfad45282c3425007f5d2c81483fa64998b3c4eeef9,False,not_publicly_released_in_current_extract
RMCT_COMP_0080,24340,Forging__Forming___Pressing,usable_rich,1,3904,SHA-256,bb512bdf3541b624ad904f69b535c513c1f6346b4acc0f8c7adc3a522bc549df,False,not_publicly_released_in_current_extract
RMCT_COMP_0081,24340,Forging__Forming___Pressing,usable,1,1200,SHA-256,12a90a9cd45e4203d13e58a0e12f9e35ad6f7096c2b6dc1b97de75baeaf9b25a,False,not_publicly_released_in_current_extract
RMCT_COMP_0082,24410,Primary_Metal_Production,usable_rich,1,3645,SHA-256,cfd7697b23e2c0fcfa101307c898a7ced3a69054fd9791dc56225828e621e658,False,not_publicly_released_in_current_extract
RMCT_COMP_0083,24410,Primary_Metal_Production,usable,1,1411,SHA-256,8cd28b2f8a997cfcd44c7216794ad6ec1c633b1b59206f65f9e47e1648b58c5b,False,not_publicly_released_in_current_extract
RMCT_COMP_0084,24410,Primary_Metal_Production,usable,1,2032,SHA-256,4b53e4d7bd8711357a03526f5055612212dc926f24160e555695a47305909e0c,False,not_publicly_released_in_current_extract
RMCT_COMP_0085,24420,Primary_Metal_Production,usable,1,1737,SHA-256,e29096d64ba79ccb2ca8d7529eaac1c21ccac6e92c5298e81ad4c34fb911f0ee,False,not_publicly_released_in_current_extract
RMCT_COMP_0086,24420,Primary_Metal_Production,usable_rich,1,3780,SHA-256,fa925e7470ff7bd1f80f6ddda9aba418fb19fe1050d6f33c53d887a01e2b1d7f,False,not_publicly_released_in_current_extract
RMCT_COMP_0087,24420,Primary_Metal_Production,usable_rich,1,5714,SHA-256,95f708c15900134d526f8d4b3b786bf6ea796767002c74123a7b66cb334768e8,False,not_publicly_released_in_current_extract
RMCT_COMP_0088,24420,Primary_Metal_Production,usable_rich,1,9209,SHA-256,e239c86f84e5f53ae2f355003395c5e0283635c97c2d2f4622b363d39d1ab11b,False,not_publicly_released_in_current_extract
RMCT_COMP_0089,24420,Primary_Metal_Production,usable_rich,1,8962,SHA-256,a18e566097c5f55953312a61b6c1a0afc737631e899e319f99398607fb1e432d,False,not_publicly_released_in_current_extract
RMCT_COMP_0090,24420,Primary_Metal_Production,usable_rich,1,33457,SHA-256,2a4b5b133413f8dfdf39aecc4d5eab6d08df694a54dca847e140813a3a042d36,False,not_publicly_released_in_current_extract
RMCT_COMP_0091,24420,Primary_Metal_Production,short_but_usable,1,428,SHA-256,78a22483a72d892ad99c423faad4133a096912fd0fdfc2d2a71f0c1bef8babd3,False,not_publicly_released_in_current_extract
RMCT_COMP_0092,24420,Primary_Metal_Production,usable,1,2569,SHA-256,50ead306865b428cd0876c3b13438d16f01251095d4a0f10e05b91cb8e831520,False,not_publicly_released_in_current_extract
RMCT_COMP_0093,24430,Primary_Metal_Production,usable_rich,1,4281,SHA-256,924360163c2057573c045d2ef200528f062748008d1842d64c07e7c2816c0484,False,not_publicly_released_in_current_extract
RMCT_COMP_0094,24440,Primary_Metal_Production,usable_rich,1,4507,SHA-256,19f7b8f42bd1a42ed3c13263ecc8904c42963757d23a5823244b72dff60e25d8,False,not_publicly_released_in_current_extract
RMCT_COMP_0095,24440,Primary_Metal_Production,usable_rich,1,6098,SHA-256,e26125e8c537258c996ba4ea4a2ee8c08562cabd0bfec8139eca47a65623e822,False,not_publicly_released_in_current_extract
RMCT_COMP_0096,24450,Primary_Metal_Production,usable_rich,1,5639,SHA-256,1d62ad13211c2a665f3e05e83ac83975d1b4394a67e3582ba6d0949cd954e2b2,False,not_publicly_released_in_current_extract
RMCT_COMP_0097,24450,Primary_Metal_Production,usable_rich,1,4332,SHA-256,178658ade5ae09f7d0ea1ee181f083b7fec9a342f48b550342f7828188369744,False,not_publicly_released_in_current_extract
RMCT_COMP_0098,24450,Primary_Metal_Production,usable_rich,1,3896,SHA-256,2ce28828e7abb65c3ea2d38776e8893b5c2baa78c3588c8355208983fb30c033,False,not_publicly_released_in_current_extract
RMCT_COMP_0099,24450,Primary_Metal_Production,usable,1,2476,SHA-256,c08906a7cbe6346ed634b2bd54a61e347c0a3e64aac6f391a20cac549a4a781e,False,not_publicly_released_in_current_extract
