company_id,company_name_public,sic_code,regional_folder,website_available,website_text_status,quality_flag,n_pages,company_text_length,crawl_date
RMCT_COMP_0080,Chaplin Bros Birmingham Limited,24340,Forging__Forming___Pressing,True,SUCCESS,usable_rich,1,3904,not_publicly_released_in_current_extract
RMCT_COMP_0081,G John Power Limited,24340,Forging__Forming___Pressing,True,SUCCESS,usable,1,1200,not_publicly_released_in_current_extract
RMCT_COMP_0082,Addica Limited,24410,Primary_Metal_Production,True,SUCCESS,usable_rich,1,3645,not_publicly_released_in_current_extract
RMCT_COMP_0083,Kanda Precious Metals Limited,24410,Primary_Metal_Production,True,SUCCESS,usable,1,1411,not_publicly_released_in_current_extract
RMCT_COMP_0084,Swatkins Group Limited,24410,Primary_Metal_Production,True,SUCCESS,usable,1,2032,not_publicly_released_in_current_extract
RMCT_COMP_0085,A J S Metals Limited,24420,Primary_Metal_Production,True,SUCCESS,usable,1,1737,not_publicly_released_in_current_extract
RMCT_COMP_0086,Alucast Group Limited,24420,Primary_Metal_Production,True,SUCCESS,usable_rich,1,3780,not_publicly_released_in_current_extract
RMCT_COMP_0087,Arconic Manufacturing Gb Limited,24420,Primary_Metal_Production,True,SUCCESS,usable_rich,1,5714,not_publicly_released_in_current_extract
RMCT_COMP_0088,Coleshill Aluminium Limited,24420,Primary_Metal_Production,True,SUCCESS,usable_rich,1,9209,not_publicly_released_in_current_extract
RMCT_COMP_0089,Mil Ver Metal Company Limited,24420,Primary_Metal_Production,True,SUCCESS,usable_rich,1,8962,not_publicly_released_in_current_extract
RMCT_COMP_0090,Sarginsons Industries Limited,24420,Primary_Metal_Production,True,SUCCESS,usable_rich,1,33457,not_publicly_released_in_current_extract
RMCT_COMP_0091,Silverwood Bakeware Limited,24420,Primary_Metal_Production,True,PARTIAL,short_but_usable,1,428,not_publicly_released_in_current_extract
RMCT_COMP_0092,Swift Aluminium Systems Ltd,24420,Primary_Metal_Production,True,SUCCESS,usable,1,2569,not_publicly_released_in_current_extract
RMCT_COMP_0093,Central Milled Lead Limited,24430,Primary_Metal_Production,True,SUCCESS,usable_rich,1,4281,not_publicly_released_in_current_extract
RMCT_COMP_0094,Frank Allart Company Limited,24440,Primary_Metal_Production,True,SUCCESS,usable_rich,1,4507,not_publicly_released_in_current_extract
RMCT_COMP_0095,Lawton Tube Company Limitedthe,24440,Primary_Metal_Production,True,SUCCESS,usable_rich,1,6098,not_publicly_released_in_current_extract
RMCT_COMP_0096,All Alloy Slitting Services Limited,24450,Primary_Metal_Production,True,SUCCESS,usable_rich,1,5639,not_publicly_released_in_current_extract
RMCT_COMP_0097,Creative Manufacturing Limited,24450,Primary_Metal_Production,True,SUCCESS,usable_rich,1,4332,not_publicly_released_in_current_extract
RMCT_COMP_0098,Fine Mesh Metals Limited,24450,Primary_Metal_Production,True,SUCCESS,usable_rich,1,3896,not_publicly_released_in_current_extract
